"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"1",-6.67020176595127,-7.26463432538101,-7.22697716219682,-6.89089816191571,-7.02943876867189,-7.49063969385691,-7.15694950749629,-6.75982800607388,-6.72234326448063,-7.15915134324823,-6.80326657181035,-6.94798221249108,-7.03073034134095,-7.66186642464322,-7.49217618583653,-7.2480347539463,-7.25468197350721,-7.81197628676896,-7.05063636655116,-7.850463324174,-7.48121647373961,-7.56857357242672,-6.95604556810992,-7.88744232741509,-6.95335055225505
"2",-6.46618786802544,-7.54317278033384,-7.2131165205783,-6.76402606138117,-6.95769610490897,-7.24663040021966,-7.09926174535316,-6.67789150190979,-6.82670209300282,-7.2057763292291,-7.05426853168018,-6.88139158955114,-6.81322462370735,-7.73885176003133,-7.36888412020291,-7.26524688282743,-7.21408635869136,-7.73492376807418,-6.99861821957348,-8.02032161698422,-7.55893826044305,-7.58756325224597,-6.98140181915044,-7.77321710999701,-6.99424731033558
"3",-6.42877421065944,-7.23328757556502,-7.33809873121342,-6.71973570107355,-6.90518715087643,-6.99005052170897,-7.13179208627356,-7.11988824134774,-6.63218193648045,-7.23170623504968,-6.68988273792386,-6.85286133187469,-6.64089563936577,-7.77627677582097,-7.48604433218318,-7.32110855993931,-7.21816998128406,-7.6936445112407,-7.06140608376774,-7.97611552447973,-7.44389871073242,-7.60204597024416,-6.96614133682502,-7.74642381267129,-6.99502642996985
"4",-6.64308598083943,-7.29509984597711,-7.25427785145685,-6.69992843177982,-6.70364893368801,-7.14094916614985,-7.07854359996242,-7.11689026714216,-6.71406996353787,-7.20539149181815,-6.69333538262428,-6.87708752181685,-6.81452518313114,-7.64410824541761,-7.55020934522656,-7.2142804392354,-7.25974732726139,-7.59719505475376,-7.06507764997503,-7.9101487099097,-7.5123684328483,-7.62460984334405,-7.05807995397587,-7.77050524392826,-6.9746584985785
"5",-6.709372914038,-7.17918911942413,-7.41383029998953,-6.61274299543551,-6.67959575727883,-7.02092397708777,-7.21389231580728,-6.62763745776556,-6.76575980794548,-7.16578608929679,-6.58639668017097,-6.88641322097119,-6.81387469198741,-7.41858090274813,-7.55702228887021,-7.25873220180623,-7.14673789432609,-7.6231480684894,-7.12662227352909,-8.03653226769651,-7.54236404595899,-7.63697385130374,-6.99611821827139,-7.70024934732867,-7.03916647183991
"6",-6.57927406941419,-7.0782047317789,-7.43128024677321,-6.6513427569818,-6.75491157532524,-7.1046395013963,-7.2090534405957,-7.06057351357562,-6.56062574788694,-7.03510175605734,-6.61370069702507,-6.93659576784395,-7.01661396961769,-7.36775200188885,-7.4502681590179,-7.29678476634203,-7.28964337913383,-7.56746768345585,-7.2328920059396,-7.98782623965939,-7.39272752392179,-7.6737804192406,-7.03089190528023,-7.82119294187389,-7.05874429547182
"7",-6.85679061001458,-6.9858712725334,-7.46337904564802,-6.63044827042698,-6.78490573470448,-6.9566454481519,-7.20731716158325,-7.17321002836807,-6.59764797085974,-7.09926174535316,-6.51725878656789,-6.71430539614637,-7.0565867973318,-7.55374628266431,-7.43466189250786,-7.2913191231372,-7.28359223912563,-7.41335647861132,-7.14203200328868,-7.8133887163823,-7.45717324194111,-7.64351176463643,-7.05608957348796,-7.71968599553205,-6.98170941681512
"8",-6.85828507398405,-6.95409843950852,-7.54371230017428,-6.54698871714015,-6.59565937844137,-7.02124397709051,-7.22776378957268,-7.18992874219597,-6.52123031307452,-7.02220459195784,-6.58164264062605,-6.65211687922118,-6.92417506312112,-7.56030906257683,-7.47364067993116,-7.31122238442763,-7.31357759373814,-7.39133638064156,-7.26157715393846,-7.96084805234894,-7.43999912012171,-7.76476683155698,-7.06641611428728,-7.77525584668686,-7.06424201860694
"9",-6.60448111177052,-6.91075978800244,-7.39481787423585,-6.59273601031224,-6.59985049941283,-7.07128312062199,-7.09649740357901,-7.09374068232941,-6.4217201297377,-7.07922168101908,-6.5482842477414,-6.55168051511544,-6.88362031313701,-7.59634144821452,-7.44781356770203,-7.29320769782507,-7.17432838822368,-7.46337904564802,-7.27077685083689,-8.04495990684323,-7.43490387678006,-7.73263954453244,-7.03396659012015,-7.73786831461524,-7.14492531452949
"10",-6.60923924921694,-7.02621711640089,-7.30249242373533,-6.59398783605468,-6.52006628151423,-7.12858009207739,-7.04193994616852,-7.08125868732521,-6.41803656128564,-6.99440308570781,-6.59148574967844,-6.61743383559343,-6.70446464194276,-7.56443277976069,-7.40275442383159,-7.29741734411747,-7.30482713773228,-7.4502681590179,-7.36639514957756,-7.78345261389104,-7.47615957295064,-7.79761275378814,-7.10151341340417,-7.74741571224013,-7.2057763292291
